gene	end
AGAP1	235908906
AGAP1	235968462
AGAP1	235930765
AGAP1	235930923
AMMECR1	110426658
AMMECR1	110426803
AMMECR1	110439890
AMN1	31728971
AMN1	31702007
AMN1	31709425
AMN1	31709293
ANGEL2	213011458
ANGEL2	213015613
ANGEL2	213013093
AP2B1	35594008
AP2B1	35587663
AP2B1	35587597
ATP6	9009
ATP6	8684
ATP6	9016
ATP6	8775
ATP8	8467
ATP8	8927
ATP8	9031
CCT4	61888381
CCT4	61888257
CCT4	61885072
CHD9	53209482
CHD9	53157541
CHD9	53222644
CHD9	53208605
CHD9	53208709
CMTM8	32367872
CMTM8	32239119
CMTM8	32357546
CMTM8	32357373
CNPY2	56314851
CNPY2	56310595
CNPY2	56315130
CNPY2	56311054
CSNK1A1	149520290
CSNK1A1	149513209
CSNK1A1	149517794
DNAJB1	14527810
DNAJB1	14529210
DNAJB1	14529222
DNAJB12	72338185
DNAJB12	72335931
DNAJB12	71676138
DNAJB12	71816624
FAM133B	92581603
FAM133B	92589860
FAM133B	92585298
FAM133B	92585396
FOLH1	49146945
FOLH1	49153846
FOLH1	49186644
FOLH1	49183242
FRMD4A	13693898
FRMD4A	13811507
FRMD4A	14128217
FTX	74250795
FTX	74266466
FTX	74280394
FTX	74208900
FXYD6	117837180
FXYD6	117837952
FXYD6	117837257
FXYD6	117837158
GIGYF2	232697392
GIGYF2	232703424
GIGYF2	232811351
GIGYF2	232787329
GLO1	38700261
GLO1	38700259
GLO1	38691972
GLO1	38469582
GPM6B	13785808
GPM6B	13776238
GPM6B	13773030
GPM6B	13774186
GPM6B	13938507
IRAK1BP1	78897959
IRAK1BP1	78902992
IRAK1BP1	78885378
KANSL1L	210129031
KANSL1L	210154611
KANSL1L	210155194
KTN1	55580354
KTN1	55612019
KTN1	55650418
KTN1	55651890
L3HYPDH	59473090
L3HYPDH	59479351
L3HYPDH	59475869
LINC00893	149534204
LINC00893	149533892
LINC00893	149533987
LINC02263	117386760
LINC02263	117371662
LINC02263	117372471
LINC02263	117372541
LOC107987143	136768678
LOC107987143	136770082
LOC107987143	136769770
LUZP2	24635759
LUZP2	24658322
LUZP2	24658321
MACROD2	16049830
MACROD2	16041278
MACROD2	16044639
MACROD2	16049833
MALAT1	65499462
MALAT1	65499513
MALAT1	65499594
MALAT1	65499696
MEG3	100845533
MEG3	100860691
MEG3	100836167
MEG3	100831534
MRPS11	88468024
MRPS11	88475239
MRPS11	88472355
NASP	45602255
NASP	45591270
NASP	45618061
NASP	45616703
NCOA7	125815291
NCOA7	125781371
NCOA7	125796797
NCOA7	125796680
ND1	3533
ND1	3959
ND1	3482
ND1	4012
ND1	3202
ND2	5369
ND2	5295
ND2	5099
ND2	5355
ND2	4859
NEK1	169508331
NEK1	169537809
NEK1	169580842
NEK1	169562196
NEK1	169400225
NSUN6	18655175
NSUN6	18651129
NSUN6	18524395
OLIG1	33072052
OLIG1	33071705
OLIG1	33071685
PDE4B	66355527
PDE4B	66247460
PDE4B	65993142
PDE4B	66332620
